ink,asymmetry,target
0.788350378,0.565570744,0
0.065118483,0.162933248,1
0.476332349,0.128072522,0
0.86895557,0.620434678,0
0.599022959,0.496882337,1
0.486827388,0.825202432,1
0.414708588,0.19912565,0
0.576336029,0.631251285,1
0.939022861,0.044117086,0
0.726469226,0.459582572,0
0.574895197,0.498954285,1
0.413392754,0.586984548,1
0.56855896,0.154574992,0
0.905104152,0.901118638,1
0.713248675,0.355963788,0
0.930394668,0.266512315,0
0.230491371,0.890192205,1
0.832129754,0.903694446,1
0.75019063,0.262025979,0
0.388056891,0.239668434,0
